,Unnamed: 0,verbs,bigram_all_cases,preposition_data,bigrams_all_cases_CAT,preposition data,bigrams_all_cases_CAT_negation
1810,1810,достаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 4, 'acc': 2, 'ins': 2, 'dat': 29}","{'в': 8, 'по': 2, 'от': 5, 'прежде': 1, 'на': 1}","{'gen': 3, 'acc': 2, 'ins': 2, 'dat': 29}"
1811,1811,научить,"{'gen': 0, 'dat': 2, 'acc': 18, 'ins': 0, 'loc': 0}",,"{'gen': 3, 'acc': 49, 'ins': 3, 'dat': 10}",{'в': 1},"{'gen': 3, 'acc': 49, 'ins': 3, 'dat': 10}"
1812,1812,приобретать,"{'gen': 0, 'dat': 0, 'acc': 14, 'ins': 0, 'loc': 0}",,"{'gen': 84, 'acc': 914, 'ins': 34, 'dat': 7}","{'в': 62, 'для': 15, 'через': 1, 'при': 2, 'путем': 3, 'у': 4, 'без': 1, 'за': 3, 'по': 3, 'к': 2, 'на': 2, 'с': 3, 'вследствие': 1, 'посредством': 1}","{'gen': 79, 'acc': 914, 'ins': 34, 'dat': 7}"
1813,1813,преподавать,"{'gen': 0, 'dat': 0, 'acc': 3, 'ins': 0, 'loc': 0}",{'в': 3},"{'gen': 12, 'acc': 66, 'ins': 9, 'dat': 11}","{'в': 61, 'на': 18, 'после': 1, 'по': 3, 'у': 4, 'с': 1, 'от': 1, 'посредством': 1, 'для': 1}","{'gen': 10, 'acc': 66, 'ins': 9, 'dat': 11}"
1814,1814,предполагать,"{'gen': 1, 'dat': 0, 'acc': 6, 'ins': 0, 'loc': 0}",{'что': 25},"{'gen': 343, 'acc': 2415, 'ins': 57, 'dat': 18}","{'для': 14, 'к': 10, 'по': 6, 'в': 45, 'при': 5, 'прежде': 2, 'со': 1, 'с': 1, 'за': 2, 'на': 5, 'относительно': 1, 'о': 1, 'у': 6, 'до': 2, 'кроме': 1, 'от': 2, 'перед': 1, 'ради': 1}","{'gen': 136, 'acc': 2415, 'ins': 57, 'dat': 18}"
1815,1815,поставлить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 6, 'acc': 0, 'ins': 15, 'dat': 0}","{'в': 4, 'перед': 3, 'вне': 1}","{'gen': 6, 'acc': 0, 'ins': 15, 'dat': 0}"
1816,1816,обременять,"{'gen': 1, 'dat': 0, 'acc': 7, 'ins': 2, 'loc': 0}",,"{'gen': 3, 'acc': 11, 'ins': 4, 'dat': 0}",{},"{'gen': 3, 'acc': 11, 'ins': 4, 'dat': 0}"
1817,1817,образуть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 5, 'ins': 2, 'dat': 0}",{'от': 2},"{'gen': 2, 'acc': 5, 'ins': 2, 'dat': 0}"
1818,1818,расщеплеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 7, 'acc': 0, 'ins': 9, 'dat': 0}",{},"{'gen': 7, 'acc': 0, 'ins': 9, 'dat': 0}"
1819,1819,обусловить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 90, 'acc': 276, 'ins': 1814, 'dat': 12}","{'прежде': 20, 'в': 40, 'с': 2, 'для': 1, 'по': 2, 'при': 1, 'без': 1, 'среди': 1}","{'gen': 87, 'acc': 276, 'ins': 1814, 'dat': 12}"
1820,1820,усматривать,"{'gen': 0, 'dat': 0, 'acc': 2, 'ins': 0, 'loc': 0}","{'в': 2, 'прототип': 1, 'собрание': 1}","{'gen': 5, 'acc': 56, 'ins': 4, 'dat': 0}","{'в': 73, 'на': 1, 'за': 1, 'из': 2, 'у': 2, 'с': 1, 'между': 1}","{'gen': 1, 'acc': 56, 'ins': 4, 'dat': 0}"
1821,1821,разобрать,"{'gen': 0, 'dat': 0, 'acc': 14, 'ins': 0, 'loc': 0}","{'и': 4, 'что': 2}","{'gen': 4, 'acc': 23, 'ins': 5, 'dat': 0}","{'на': 4, 'по': 1, 'в': 2}","{'gen': 3, 'acc': 23, 'ins': 5, 'dat': 0}"
